Sale ID,Date,Brand,Product,Category,Region,Retailer,Units Sold,Unit Price (INR),Discount (%),Revenue (INR)
S0001,2026-07-09,Camlin,Oil Pastels 25pk,Art & Craft,East,Campus Store,67,90,2,5909
S0002,2026-01-23,Camlin,Watercolor Pack,Art & Craft,Central,Office Mart,18,160,0,2880
S0003,2026-03-01,Camlin,Poster Colors,Art & Craft,Central,BookNest,16,120,10,1728
S0004,2026-04-18,Faber-Castell,Highlighters Pack,Office Supplies,South,Office Mart,160,150,5,22800
S0005,2026-06-28,Classmate,Notebook 300pg,Paper Products,West,Paper Plus,81,110,2,8732
S0006,2026-01-27,Faber-Castell,Markers Set,Art & Craft,North,Office Mart,34,280,5,9044
S0007,2026-03-09,Luxor,Permanent Marker Pack,Writing,North,Office Mart,147,60,0,8820
S0008,2026-05-22,Doms,Pencil Box Set,Writing,East,BookNest,102,45,10,4131
S0009,2026-01-12,Faber-Castell,Gel Pens Set,Writing,South,Paper Plus,30,220,2,6468
S0010,2026-03-13,Camlin,Sketch Pens 12pk,Art & Craft,West,Paper Plus,51,75,5,3634
S0011,2026-06-21,Luxor,Highlighter Pack,Office Supplies,East,Stationery Hub,165,80,2,12936
S0012,2026-04-29,Faber-Castell,Color Pencils Premium,Art & Craft,West,Paper Plus,173,350,10,54495
S0013,2026-07-16,Faber-Castell,Markers Set,Art & Craft,North,Campus Store,18,280,5,4788
S0014,2026-01-17,Doms,Sharpener Set,Office Supplies,South,BookNest,193,20,5,3667
S0015,2026-04-12,Faber-Castell,Sketch Set,Art & Craft,West,Campus Store,77,400,2,30184
S0016,2026-05-18,Faber-Castell,Highlighters Pack,Office Supplies,East,BookNest,119,150,10,16065
S0017,2026-02-26,Doms,Sharpener Set,Office Supplies,South,BookNest,136,20,0,2720
S0018,2026-02-09,Classmate,Notebook 172pg,Paper Products,South,Office Mart,162,60,0,9720
S0019,2026-06-02,Doms,Water Color Pack,Art & Craft,West,BookNest,74,85,10,5661
S0020,2026-06-24,Classmate,Notebook 172pg,Paper Products,Central,Paper Plus,174,60,5,9918
S0021,2026-04-22,Camlin,Geometry Box,Office Supplies,South,Office Mart,10,140,5,1330
S0022,2026-01-28,Nataraj,Crayons Pack,Art & Craft,East,BookNest,165,70,2,11319
S0023,2026-07-15,Nataraj,Sharpener Pack,Office Supplies,South,BookNest,145,15,0,2175
S0024,2026-01-05,Luxor,Sketch Pens Pack,Art & Craft,North,Paper Plus,88,95,2,8193
S0025,2026-05-26,Classmate,Notebook 300pg,Paper Products,North,Stationery Hub,197,110,7,20153
S0026,2026-07-16,Camlin,Watercolor Pack,Art & Craft,South,Campus Store,178,160,7,26486
S0027,2026-05-16,Nataraj,Sharpener Pack,Office Supplies,Central,Office Mart,64,15,10,864
S0028,2026-04-13,Faber-Castell,Markers Set,Art & Craft,East,Office Mart,142,280,7,36977
S0029,2026-02-27,Camlin,Poster Colors,Art & Craft,North,Paper Plus,15,120,10,1620
S0030,2026-02-26,Faber-Castell,Highlighters Pack,Office Supplies,North,Stationery Hub,191,150,0,28650
S0031,2026-01-09,Faber-Castell,Gel Pens Set,Writing,East,Stationery Hub,141,220,2,30400
S0032,2026-02-24,Cello,Correction Pen,Office Supplies,Central,Campus Store,195,25,10,4388
S0033,2026-07-20,Parker,Ball Pen Premium,Writing,West,Office Mart,58,450,0,26100
